"ID","shape","outlierType","outlierPosition","choice","success","rt","majorityOfMostRegularShapes","rot1","rot2","rot3","rot4","rot5","rot6","dil1","dil2","dil3","dil4","dil5","dil6","usedTouchscreen","population","age","classe"
"ARIELLE","isoTrapezoid",0,3,6,0,2027,TRUE,"6","4","2","3","5","1","5","4","3","6","2","1",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",3,0,4,0,4359,TRUE,"6","3","1","2","5","4","4","3","6","1","5","2",TRUE,"baboons",NA,NA
"ARIELLE","kite",2,5,6,1,930,TRUE,"2","6","5","1","4","3","4","3","2","6","1","5",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",1,0,6,0,4949,FALSE,"1","4","6","5","3","2","6","3","4","2","1","5",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",0,0,1,1,3602,FALSE,"2","6","3","1","5","4","6","5","1","4","2","3",TRUE,"baboons",NA,NA
"ARIELLE","random",1,0,4,0,1898,FALSE,"1","2","3","4","6","5","4","5","6","1","2","3",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",3,2,4,0,3621,TRUE,"1","5","6","4","2","3","1","6","2","4","5","3",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",3,4,4,0,1219,FALSE,"5","6","4","1","2","3","5","2","6","4","3","1",TRUE,"baboons",NA,NA
"ARIELLE","losange",3,2,6,0,3156,TRUE,"3","2","4","1","5","6","2","5","6","4","1","3",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",2,4,5,1,730,TRUE,"5","2","3","6","1","4","5","4","3","2","1","6",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",0,3,3,0,2359,TRUE,"2","5","6","1","4","3","1","5","4","2","6","3",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",0,3,6,0,2930,FALSE,"1","2","4","3","5","6","4","6","3","5","1","2",TRUE,"baboons",NA,NA
"ARIELLE","losange",2,1,3,0,3402,TRUE,"2","3","6","5","4","1","3","4","1","2","5","6",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",0,0,1,1,1250,FALSE,"1","2","4","3","5","6","1","6","2","5","4","3",TRUE,"baboons",NA,NA
"ARIELLE","hinge",0,3,4,1,3133,TRUE,"1","4","3","5","6","2","1","5","2","3","4","6",TRUE,"baboons",NA,NA
"ARIELLE","square",0,3,4,1,1219,FALSE,"2","5","1","4","6","3","1","3","6","5","4","2",TRUE,"baboons",NA,NA
"ARIELLE","hinge",2,0,4,0,3578,FALSE,"2","5","1","6","4","3","4","3","6","1","5","2",TRUE,"baboons",NA,NA
"ARIELLE","losange",0,0,1,1,1418,TRUE,"2","5","3","4","6","1","5","6","3","2","4","1",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",3,4,1,0,2492,FALSE,"6","3","4","1","2","5","2","3","5","1","4","6",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",1,0,6,0,1309,FALSE,"2","3","4","5","1","6","4","1","2","3","6","5",TRUE,"baboons",NA,NA
"ARIELLE","square",1,5,3,0,2309,TRUE,"4","1","6","3","5","2","6","3","2","4","5","1",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",3,1,1,0,2539,FALSE,"6","1","4","3","2","5","3","4","2","1","5","6",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",3,1,2,1,4500,FALSE,"5","4","3","2","1","6","1","5","3","4","6","2",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",1,0,6,0,3809,TRUE,"6","4","5","2","3","1","4","5","6","1","3","2",TRUE,"baboons",NA,NA
"ARIELLE","square",3,4,1,0,1672,FALSE,"5","3","4","1","2","6","3","5","4","2","6","1",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",2,5,6,1,961,TRUE,"2","6","4","3","1","5","2","1","6","5","3","4",TRUE,"baboons",NA,NA
"ARIELLE","losange",3,3,5,0,2543,FALSE,"2","1","5","6","3","4","2","5","4","6","1","3",TRUE,"baboons",NA,NA
"ARIELLE","square",0,4,2,0,2340,TRUE,"5","1","3","2","6","4","4","5","2","6","3","1",TRUE,"baboons",NA,NA
"ARIELLE","kite",3,0,1,1,1191,FALSE,"2","6","5","1","3","4","3","1","5","2","6","4",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",0,4,6,0,3840,FALSE,"5","2","6","3","4","1","2","1","6","3","5","4",TRUE,"baboons",NA,NA
"ARIELLE","hinge",1,4,1,0,2270,TRUE,"6","3","1","4","5","2","1","2","6","4","5","3",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",3,1,6,0,2562,TRUE,"5","2","3","6","4","1","2","4","6","1","3","5",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",2,3,5,0,4340,TRUE,"4","5","3","2","1","6","1","6","5","4","2","3",TRUE,"baboons",NA,NA
"ARIELLE","kite",0,1,6,0,1219,TRUE,"2","5","6","3","4","1","1","4","2","3","5","6",TRUE,"baboons",NA,NA
"ARIELLE","kite",2,5,6,1,2332,FALSE,"6","4","1","2","5","3","4","2","3","6","1","5",TRUE,"baboons",NA,NA
"ARIELLE","kite",3,1,4,0,2297,TRUE,"4","3","1","6","2","5","5","2","1","6","3","4",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",2,3,4,1,2250,FALSE,"4","5","3","6","1","2","5","6","3","2","1","4",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",2,5,6,1,2469,TRUE,"3","6","5","4","1","2","2","4","6","3","5","1",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",1,1,5,0,3371,FALSE,"6","2","4","3","1","5","4","1","6","5","2","3",TRUE,"baboons",NA,NA
"ARIELLE","hinge",0,1,1,0,3328,FALSE,"3","4","5","1","2","6","3","5","1","2","6","4",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",1,5,6,1,973,FALSE,"3","4","5","2","6","1","6","3","1","4","2","5",TRUE,"baboons",NA,NA
"ARIELLE","isoTrapezoid",1,4,5,1,750,TRUE,"1","2","5","3","4","6","6","4","3","2","5","1",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",0,2,2,0,1473,TRUE,"6","1","3","5","4","2","6","4","2","3","1","5",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",0,4,1,0,1312,TRUE,"1","3","2","6","5","4","5","2","1","6","3","4",TRUE,"baboons",NA,NA
"ARIELLE","rectangle",2,1,2,1,1488,TRUE,"2","4","3","5","1","6","4","6","5","1","3","2",TRUE,"baboons",NA,NA
"ARIELLE","parallelogram",1,5,5,0,3191,TRUE,"2","3","4","1","5","6","4","5","2","3","1","6",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",3,5,3,0,1891,TRUE,"4","6","1","3","2","5","4","3","2","1","5","6",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",1,5,4,0,2359,TRUE,"3","1","2","6","5","4","4","3","6","1","5","2",TRUE,"baboons",NA,NA
"ARIELLE","hinge",2,4,5,1,770,TRUE,"6","1","4","2","3","5","2","6","3","5","4","1",TRUE,"baboons",NA,NA
"ARIELLE","losange",0,0,6,0,3332,FALSE,"1","3","5","4","2","6","4","5","6","2","3","1",TRUE,"baboons",NA,NA
"ARIELLE","trapezoid",2,4,5,1,4051,FALSE,"2","5","6","4","1","3","3","4","2","6","1","5",TRUE,"baboons",NA,NA
"ARIELLE","losange",1,0,1,1,1922,TRUE,"1","4","2","6","5","3","1","6","5","2","4","3",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",1,3,4,1,2953,TRUE,"5","4","1","6","3","2","2","3","6","1","4","5",TRUE,"baboons",NA,NA
"ARIELLE","square",2,3,4,1,1559,FALSE,"1","2","4","5","6","3","4","6","5","3","1","2",TRUE,"baboons",NA,NA
"ARIELLE","random",2,2,5,0,4590,FALSE,"4","3","6","2","1","5","2","1","4","5","6","3",TRUE,"baboons",NA,NA
"ARIELLE","hinge",3,2,5,0,938,TRUE,"1","4","6","3","2","5","4","1","6","3","2","5",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",2,0,4,0,2090,FALSE,"1","4","5","6","2","3","1","5","2","4","6","3",TRUE,"baboons",NA,NA
"ARIELLE","rightKite",3,2,2,0,4438,TRUE,"4","2","6","1","3","5","3","5","4","1","2","6",TRUE,"baboons",NA,NA
"ARIELLE","rustedHinge",2,3,4,1,3617,FALSE,"5","6","2","4","1","3","3","2","4","6","1","5",TRUE,"baboons",NA,NA
"ARIELLE","kite",1,0,1,1,3562,TRUE,"1","6","2","4","5","3","3","5","2","4","6","1",TRUE,"baboons",NA,NA
