"","shape","mean","se","length"
"1","rectangle",0.0598290598290598,0.0220206688623851,117
"2","square",0.0683760683760684,0.023433835993969,117
"3","isoTrapezoid",0.213675213675214,0.0380582716479368,117
"4","parallelogram",0.239316239316239,0.0396149546078781,117
"5","losange",0.239316239316239,0.0396149546078781,117
"6","kite",0.273504273504274,0.0413875383001284,117
"7","rightKite",0.273504273504274,0.0413875383001284,117
"8","rustedHinge",0.264957264957265,0.0409746465663609,117
"9","hinge",0.324786324786325,0.0434800953289129,117
"10","trapezoid",0.401709401709402,0.0455179917334397,117
"11","random",0.461538461538462,0.0462862821395627,117
